0,0
1,0
2,1
3,1
4,4
4,3
4,2
5,2
6,3
7,4
8,7
8,6
8,5
9,5
10,6
11,7
12,9
12,11
12,8
13,8
14,9
14,10
15,10
16,11
17,12
17,15
17,13
18,12
19,14
19,13
20,14
21,15
22,16
22,19
22,17
23,16
24,18
24,17
25,18
26,21
26,19
26,20
27,20
28,21
29,23
29,25
29,22
30,22
31,24
31,23
32,24
33,25
33,27
33,26
34,26
35,27
36,31
36,29
36,28
37,28
38,33
38,32
38,30
38,29
39,30
40,31
41,32
42,33
43,37
43,34
43,35
44,34
45,35
45,36
45,39
45,38
46,36
47,37
48,38
49,39
50,46
50,48
50,47
51,41
51,46
51,40
52,40
52,42
53,43
53,41
54,42
54,44
55,43
55,45
56,45
56,44
57,47
58,48
59,55
59,56
59,57
60,55
60,50
60,49
61,49
61,51
62,52
62,50
63,53
63,51
64,52
64,54
65,53
65,54
66,56
67,57
68,64
68,65
69,58
69,64
69,59
70,60
70,58
71,61
71,59
72,60
72,62
73,61
73,63
74,63
74,62
75,65
76,72
76,73
77,66
77,72
77,67
78,66
78,68
79,69
79,67
80,70
80,68
81,69
81,71
82,70
82,71
83,73
84,75
84,74
85,74
86,75
86,76
87,76
88,78
88,77
89,77
90,79
90,78
91,79
92,80
92,81
93,80
94,82
94,81
94,84
94,83
95,82
96,83
97,84
98,86
98,85
99,85
100,86
100,88
100,89
100,87
101,87
102,88
103,89
104,96
104,90
104,91
105,92
105,90
106,91
106,93
107,92
107,94
108,93
108,95
109,94
109,95
110,96
110,97
111,97
112,104
112,99
112,98
113,100
113,98
114,99
114,101
115,102
115,100
116,101
116,103
117,103
117,102
118,104
118,105
119,105
120,112
120,107
120,106
121,108
121,106
122,107
122,109
123,108
123,110
124,109
124,111
125,111
125,110
126,113
126,112
126,114
127,113
128,114
129,116
129,115
129,121
130,115
130,117
131,118
131,116
132,117
132,119
133,118
133,120
134,120
134,119
135,123
135,122
135,121
136,122
137,123
138,131
138,132
138,130
139,130
139,124
139,125
140,124
140,126
141,127
141,125
142,128
142,126
143,127
143,129
144,128
144,129
145,131
146,133
146,132
146,134
147,133
148,134
149,142
149,141
149,143
150,136
150,135
150,141
151,137
151,135
152,136
152,138
153,139
153,137
154,138
154,140
155,139
155,140
156,142
157,143
157,144
157,145
158,144
159,145
160,146
160,147
160,152
161,148
161,146
162,149
162,147
163,148
163,150
164,149
164,151
165,151
165,150
166,160
166,153
166,152
167,153
168,160
168,155
168,154
169,154
169,156
170,157
170,155
171,156
171,158
172,159
172,157
173,158
173,159
174,167
174,162
174,161
175,163
175,161
176,164
176,162
177,163
177,165
178,164
178,166
179,165
179,166
180,168
180,175
180,167
181,168
182,170
182,169
182,175
183,171
183,169
184,172
184,170
185,171
185,173
186,174
186,172
187,173
187,174
188,176
189,176
189,179
189,177
189,178
190,177
191,178
192,179
193,180
193,185
194,183
194,182
194,180
194,181
195,181
196,184
196,182
197,183
198,184
199,185
200,186
200,190
201,188
201,186
201,189
201,187
202,187
203,188
203,191
203,192
204,189
205,192
205,194
206,190
207,191
207,193
208,193
208,195
209,194
209,196
210,196
210,195
211,202
211,197
212,200
212,198
212,199
212,197
213,198
214,201
214,199
215,200
215,209
216,201
217,202
218,204
218,209
218,203
219,203
219,205
220,204
220,206
221,207
221,205
222,206
222,208
223,207
223,208
224,211
224,213
225,210
225,211
225,217
225,212
226,210
227,212
227,214
228,215
228,213
229,216
229,214
230,216
230,215
231,217
